"fullName","country","politicalGroup","id","nationalPoliticalGroup"
"Alviina ALAMETSÄ","Finland","Group of the Greens/European Free Alliance","204335","Vihreä liitto"
"François ALFONSI","France","Group of the Greens/European Free Alliance","96750","Régions et Peuples Solidaires"
"Rasmus ANDRESEN","Germany","Group of the Greens/European Free Alliance","197448","Bündnis 90/Die Grünen"
"Margrete AUKEN","Denmark","Group of the Greens/European Free Alliance","28161","Socialistisk Folkeparti"
"Benoît BITEAU","France","Group of the Greens/European Free Alliance","197512","Europe Écologie"
"Michael BLOSS","Germany","Group of the Greens/European Free Alliance","197449","Bündnis 90/Die Grünen"
"Damian BOESELAGER","Germany","Group of the Greens/European Free Alliance","197439","Volt"
"Patrick BREYER","Germany","Group of the Greens/European Free Alliance","197431","Piratenpartei Deutschland"
"Saskia BRICMONT","Belgium","Group of the Greens/European Free Alliance","197470","Ecologistes Confédérés pour l'Organisation de Luttes Originales"
"Reinhard BÜTIKOFER","Germany","Group of the Greens/European Free Alliance","96739","Bündnis 90/Die Grünen"
"Damien CARÊME","France","Group of the Greens/European Free Alliance","197574","Europe Écologie"
"Anna CAVAZZINI","Germany","Group of the Greens/European Free Alliance","86793","Bündnis 90/Die Grünen"
"David CORMAND","France","Group of the Greens/European Free Alliance","197503","Europe Écologie"
"Ignazio CORRAO","Italy","Group of the Greens/European Free Alliance","124856","Independent"
"Ciarán CUFFE","Ireland","Group of the Greens/European Free Alliance","197654","Green Party"
"Jakop G. DALUNDE","Sweden","Group of the Greens/European Free Alliance","183338","Miljöpartiet de gröna"
"Rosa D'AMATO","Italy","Group of the Greens/European Free Alliance","124835","Independent"
"Gwendoline DELBOS-CORFIELD","France","Group of the Greens/European Free Alliance","197531","Europe Écologie"
"Karima DELLI","France","Group of the Greens/European Free Alliance","96868","Europe Écologie"
"Anna DEPARNAY-GRUNENBERG","Germany","Group of the Greens/European Free Alliance","197453","Bündnis 90/Die Grünen"
"Bas EICKHOUT","Netherlands","Group of the Greens/European Free Alliance","96725","GroenLinks"
"Romeo FRANZ","Germany","Group of the Greens/European Free Alliance","193273","Bündnis 90/Die Grünen"
"Daniel FREUND","Germany","Group of the Greens/European Free Alliance","106936","Bündnis 90/Die Grünen"
"Alexandra GEESE","Germany","Group of the Greens/European Free Alliance","183916","Bündnis 90/Die Grünen"
"Markéta GREGOROVÁ","Czechia","Group of the Greens/European Free Alliance","197549","PIRÁTI"
"Claude GRUFFAT","France","Group of the Greens/European Free Alliance","204420","Europe Écologie"
"Francisco GUERREIRO","Portugal","Group of the Greens/European Free Alliance","197645","Independent"
"Henrike HAHN","Germany","Group of the Greens/European Free Alliance","197457","Bündnis 90/Die Grünen"
"Martin HÄUSLING","Germany","Group of the Greens/European Free Alliance","96752","Bündnis 90/Die Grünen"
"Heidi HAUTALA","Finland","Group of the Greens/European Free Alliance","2054","Vihreä liitto"
"Pierrette HERZBERGER-FOFANA","Germany","Group of the Greens/European Free Alliance","197459","Bündnis 90/Die Grünen"
"Pär HOLMGREN","Sweden","Group of the Greens/European Free Alliance","197398","Miljöpartiet de gröna"
"Stasys JAKELIŪNAS","Lithuania","Group of the Greens/European Free Alliance","197837","Independent"
"Ska KELLER","Germany","Group of the Greens/European Free Alliance","96734","Bündnis 90/Die Grünen"
"Petros KOKKALIS","Greece","Group of the Greens/European Free Alliance","197743","KOSMOS"
"Marcel KOLAJA","Czechia","Group of the Greens/European Free Alliance","197546","PIRÁTI"
"Alice KUHNKE","Sweden","Group of the Greens/European Free Alliance","197395","Miljöpartiet de gröna"
"Sergey LAGODINSKY","Germany","Group of the Greens/European Free Alliance","197460","Bündnis 90/Die Grünen"
"Philippe LAMBERTS","Belgium","Group of the Greens/European Free Alliance","96648","Ecologistes Confédérés pour l'Organisation de Luttes Originales"
"Katrin LANGENSIEPEN","Germany","Group of the Greens/European Free Alliance","197461","Bündnis 90/Die Grünen"
"Erik MARQUARDT","Germany","Group of the Greens/European Free Alliance","197462","Bündnis 90/Die Grünen"
"Lydie MASSARD","France","Group of the Greens/European Free Alliance","249285","Régions et Peuples Solidaires"
"Sara MATTHIEU","Belgium","Group of the Greens/European Free Alliance","208722","Groen"
"Tilly METZ","Luxembourg","Group of the Greens/European Free Alliance","193292","Déi Gréng - Les Verts"
"Ana MIRANDA","Spain","Group of the Greens/European Free Alliance","24942","Bloque Nacionalista Galego"
"Hannah NEUMANN","Germany","Group of the Greens/European Free Alliance","197464","Bündnis 90/Die Grünen"
"Niklas NIENASS","Germany","Group of the Greens/European Free Alliance","197465","Bündnis 90/Die Grünen"
"Ville NIINISTÖ","Finland","Group of the Greens/European Free Alliance","197802","Vihreä liitto"
"Grace O'SULLIVAN","Ireland","Group of the Greens/European Free Alliance","197889","Green Party"
"Jan OVELGÖNNE","Germany","Group of the Greens/European Free Alliance","232843","Bündnis 90/Die Grünen"
"Jutta PAULUS","Germany","Group of the Greens/European Free Alliance","197466","Bündnis 90/Die Grünen"
"Piernicola PEDICINI","Italy","Group of the Greens/European Free Alliance","124844","Independent"
"Mikuláš PEKSA","Czechia","Group of the Greens/European Free Alliance","197539","PIRÁTI"
"Kira Marie PETER-HANSEN","Denmark","Group of the Greens/European Free Alliance","197573","Socialistisk Folkeparti"
"Terry REINTKE","Germany","Group of the Greens/European Free Alliance","103381","Bündnis 90/Die Grünen"
"Diana RIBA I GINER","Spain","Group of the Greens/European Free Alliance","197832","Esquerra Republicana de Catalunya"
"Manuela RIPA","Germany","Group of the Greens/European Free Alliance","206158","Ökologisch-Demokratische Partei"
"Caroline ROOSE","France","Group of the Greens/European Free Alliance","197506","Europe Écologie"
"Bronis ROPĖ","Lithuania","Group of the Greens/European Free Alliance","125214","Lietuvos valstiečių ir žaliųjų sąjunga"
"Mounir SATOURI","France","Group of the Greens/European Free Alliance","197500","Europe Écologie"
"Nico SEMSROTT","Germany","Group of the Greens/European Free Alliance","197423","Independent"
"Jordi SOLÉ","Spain","Group of the Greens/European Free Alliance","185974","Esquerra Republicana de Catalunya"
"Nicolae ŞTEFĂNUȚĂ","Romania","Group of the Greens/European Free Alliance","58766","Independent"
"Tineke STRIK","Netherlands","Group of the Greens/European Free Alliance","197772","GroenLinks"
"François THIOLLET","France","Group of the Greens/European Free Alliance","250918","Europe Écologie"
"Marie TOUSSAINT","France","Group of the Greens/European Free Alliance","97236","Europe Écologie"
"Monika VANA","Austria","Group of the Greens/European Free Alliance","124934","Die Grünen - Die Grüne Alternative"
"Kim VAN SPARRENTAK","Netherlands","Group of the Greens/European Free Alliance","197870","GroenLinks"
"Viola VON CRAMON-TAUBADEL","Germany","Group of the Greens/European Free Alliance","197451","Bündnis 90/Die Grünen"
"Thomas WAITZ","Austria","Group of the Greens/European Free Alliance","190464","Die Grünen - Die Grüne Alternative"
"Sarah WIENER","Austria","Group of the Greens/European Free Alliance","197675","Die Grünen - Die Grüne Alternative"
