"fullName","country","politicalGroup","id","nationalPoliticalGroup"
"Matteo ADINOLFI","Italy","Identity and Democracy Group","197826","Lega"
"Mathilde ANDROUËT","France","Identity and Democracy Group","197691","Rassemblement national"
"Gerolf ANNEMANS","Belgium","Identity and Democracy Group","124973","Vlaams Belang"
"Jordan BARDELLA","France","Identity and Democracy Group","131580","Rassemblement national"
"Alessandra BASSO","Italy","Identity and Democracy Group","197610","Lega"
"Aurélia BEIGNEUX","France","Identity and Democracy Group","197680","Rassemblement national"
"Dominique BILDE","France","Identity and Democracy Group","124771","Rassemblement national"
"Anna BONFRISCO","Italy","Identity and Democracy Group","197788","Lega"
"Paolo BORCHIA","Italy","Identity and Democracy Group","101039","Lega"
"Annika BRUNA","France","Identity and Democracy Group","182995","Rassemblement national"
"Marco CAMPOMENOSI","Italy","Identity and Democracy Group","35016","Lega"
"Massimo CASANOVA","Italy","Identity and Democracy Group","197796","Lega"
"Susanna CECCARDI","Italy","Identity and Democracy Group","197786","Lega"
"Patricia CHAGNON","France","Identity and Democracy Group","236052","Rassemblement national"
"Angelo CIOCCA","Italy","Identity and Democracy Group","183793","Lega"
"Rosanna CONTE","Italy","Identity and Democracy Group","197616","Lega"
"Gianantonio DA RE","Italy","Identity and Democracy Group","197608","Lega"
"Marie DAUCHY","France","Identity and Democracy Group","236050","Rassemblement national"
"Ivan DAVID","Czechia","Identity and Democracy Group","197556","Svoboda a přímá demokracie"
"Filip DE MAN","Belgium","Identity and Democracy Group","197472","Vlaams Belang"
"Gianna GANCIA","Italy","Identity and Democracy Group","197582","Lega"
"Jean-Paul GARRAUD","France","Identity and Democracy Group","197628","Rassemblement national"
"Paola GHIDONI","Italy","Identity and Democracy Group","239256","Lega"
"Valentino GRANT","Italy","Identity and Democracy Group","197799","Lega"
"Catherine GRISET","France","Identity and Democracy Group","94649","Rassemblement national"
"Roman HAIDER","Austria","Identity and Democracy Group","198176","Freiheitliche Partei Österreichs"
"Jean-François JALKH","France","Identity and Democracy Group","124770","Rassemblement national"
"France JAMET","France","Identity and Democracy Group","189065","Rassemblement national"
"Virginie JORON","France","Identity and Democracy Group","197627","Rassemblement national"
"Jean-Lin LACAPELLE","France","Identity and Democracy Group","204421","Rassemblement national"
"Danilo Oscar LANCINI","Italy","Identity and Democracy Group","192635","Lega"
"Gilles LEBRETON","France","Identity and Democracy Group","124738","Rassemblement national"
"Elena LIZZI","Italy","Identity and Democracy Group","197611","Lega"
"Jaak MADISON","Estonia","Identity and Democracy Group","197493","Eesti Konservatiivne Rahvaerakond"
"Thierry MARIANI","France","Identity and Democracy Group","197623","Rassemblement national"
"Georg MAYER","Austria","Identity and Democracy Group","38511","Freiheitliche Partei Österreichs"
"Eric MINARDI","France","Identity and Democracy Group","236051","Rassemblement national"
"Philippe OLIVIER","France","Identity and Democracy Group","197687","Rassemblement national"
"Alessandro PANZA","Italy","Identity and Democracy Group","99283","Lega"
"Aldo PATRICIELLO","Italy","Identity and Democracy Group","36392","Lega"
"Antonio Maria RINALDI","Italy","Identity and Democracy Group","197787","Lega"
"André ROUGÉ","France","Identity and Democracy Group","197690","Rassemblement national"
"Silvia SARDONE","Italy","Identity and Democracy Group","197578","Lega"
"Annalisa TARDINO","Italy","Identity and Democracy Group","197806","Lega"
"Isabella TOVAGLIERI","Italy","Identity and Democracy Group","197580","Lega"
"Tom VANDENDRIESSCHE","Belgium","Identity and Democracy Group","185771","Vlaams Belang"
"Harald VILIMSKY","Austria","Identity and Democracy Group","125001","Freiheitliche Partei Österreichs"
"Anders VISTISEN","Denmark","Identity and Democracy Group","124875","Dansk Folkeparti"
"Marco ZANNI","Italy","Identity and Democracy Group","124780","Lega"
