"fullName","country","politicalGroup","id","nationalPoliticalGroup"
"Christine ANDERSON","Germany","Non-attached Members","197475","Alternative für Deutschland"
"Gunnar BECK","Germany","Non-attached Members","132191","Alternative für Deutschland"
"Tiziana BEGHIN","Italy","Non-attached Members","124777","Movimento 5 Stelle"
"Monika BEŇOVÁ","Slovakia","Non-attached Members","23868","SMER-Sociálna demokracia"
"Hynek BLAŠKO","Czechia","Non-attached Members","197564","Aliance národních sil"
"Andrea BOCSKOR","Hungary","Non-attached Members","124712","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Markus BUCHHEIT","Germany","Non-attached Members","128483","Alternative für Deutschland"
"Martin BUSCHMANN","Germany","Non-attached Members","197434","Independent"
"Tudor CIUHODARU","Romania","Non-attached Members","197657","Alianța pentru Unirea Românilor"
"Gilbert COLLARD","France","Non-attached Members","197683","Divers droite"
"Antoni COMÍN I OLIVERES","Spain","Non-attached Members","202352","Junts per Catalunya - Lliures per Europa"
"Andrea COZZOLINO","Italy","Non-attached Members","96880","Partito Democratico"
"Maria Angela DANZÌ","Italy","Non-attached Members","239258","Movimento 5 Stelle"
"Andor DELI","Hungary","Non-attached Members","124714","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Tamás DEUTSCH","Hungary","Non-attached Members","96826","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Francesca DONATO","Italy","Non-attached Members","197822","Democrazia Cristiana"
"Laura FERRARA","Italy","Non-attached Members","124833","Movimento 5 Stelle"
"Nicolaus FEST","Germany","Non-attached Members","197480","Alternative für Deutschland"
"Mario FURORE","Italy","Non-attached Members","197795","Movimento 5 Stelle"
"Kinga GÁL","Hungary","Non-attached Members","28150","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Alexis GEORGOULIS","Greece","Non-attached Members","197819","Independent"
"Dino GIARRUSSO","Italy","Non-attached Members","197804","Independent"
"Marcel de GRAAFF","Netherlands","Non-attached Members","125025","Forum voor Democratie"
"Márton GYÖNGYÖSI","Hungary","Non-attached Members","198063","Jobbik – Konzervatívok"
"Enikő GYŐRI","Hungary","Non-attached Members","96830","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"András GYÜRK","Hungary","Non-attached Members","23816","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Balázs HIDVÉGHI","Hungary","Non-attached Members","124586","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Lívia JÁRÓKA","Hungary","Non-attached Members","28141","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Hervé JUVIN","France","Non-attached Members","197626","Indépendant"
"Eva KAILI","Greece","Non-attached Members","125109","Independent"
"Mislav KOLAKUŠIĆ","Croatia","Non-attached Members","197438","PRAVO I PRAVDA"
"Athanasios KONSTANTINOU","Greece","Non-attached Members","197740","Independent"
"Ádám KÓSA","Hungary","Non-attached Members","96829","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Maximilian KRAH","Germany","Non-attached Members","197481","Alternative für Deutschland"
"Joachim KUHS","Germany","Non-attached Members","197482","Alternative für Deutschland"
"Ioannis LAGOS","Greece","Non-attached Members","197737","Independent"
"Sylvia LIMMER","Germany","Non-attached Members","197483","Independent"
"Jörg MEUTHEN","Germany","Non-attached Members","190518","Independent"
"Lefteris NIKOLAOU-ALAVANOS","Greece","Non-attached Members","197734","Communist Party of Greece"
"Kostas PAPADAKIS","Greece","Non-attached Members","125093","Communist Party of Greece"
"Sabrina PIGNEDOLI","Italy","Non-attached Members","197619","Movimento 5 Stelle"
"Maxette PIRBAKAS","France","Non-attached Members","197629","Indépendant"
"Clara PONSATÍ OBIOLS","Spain","Non-attached Members","204443","Junts per Catalunya - Lliures per Europa"
"Carles PUIGDEMONT I CASAMAJÓ","Spain","Non-attached Members","202351","Junts per Catalunya - Lliures per Europa"
"Miroslav RADAČOVSKÝ","Slovakia","Non-attached Members","197764","Slovak PATRIOT"
"Guido REIL","Germany","Non-attached Members","197488","Alternative für Deutschland"
"Jérôme RIVIÈRE","France","Non-attached Members","197615","Indépendant"
"Maria Veronica ROSSI","Italy","Non-attached Members","243912","Independent"
"Katarína ROTH NEVEĎALOVÁ","Slovakia","Non-attached Members","96653","SMER-Sociálna demokracia"
"Ernő SCHALLER-BAROSS","Hungary","Non-attached Members","213330","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Ivan Vilibor SINČIĆ","Croatia","Non-attached Members","197935","PRAVO I PRAVDA"
"Massimiliano SMERIGLIO","Italy","Non-attached Members","197791","Alleanza Verdi e Sinistra"
"Martin SONNEBORN","Germany","Non-attached Members","124834","Die PARTEI"
"Sylwia SPUREK","Poland","Non-attached Members","197550","Independent"
"Marc TARABELLA","Belgium","Non-attached Members","29579","Independent"
"Edina TÓTH","Hungary","Non-attached Members","27714","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"László TRÓCSÁNYI","Hungary","Non-attached Members","197894","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"Milan UHRÍK","Slovakia","Non-attached Members","197763","Hnutie Republika"
"Viktor USPASKICH","Lithuania","Non-attached Members","96698","Darbo partija"
"Elena YONCHEVA","Bulgaria","Non-attached Members","197842","Bulgarian Socialist Party"
"Bernhard ZIMNIOK","Germany","Non-attached Members","197489","Alternative für Deutschland"
"Tatjana ŽDANOKA","Latvia","Non-attached Members","28619","Latvijas Krievu savienība"
