"fullName","country","politicalGroup","id","nationalPoliticalGroup"
"Magdalena ADAMOWICZ","Poland","Group of the European People's Party (Christian Democrats)","197490","Independent"
"Asim ADEMOV","Bulgaria","Group of the European People's Party (Christian Democrats)","189525","Citizens for European Development of Bulgaria"
"Isabella ADINOLFI","Italy","Group of the European People's Party (Christian Democrats)","124831","Forza Italia"
"Alexander ALEXANDROV YORDANOV","Bulgaria","Group of the European People's Party (Christian Democrats)","197836","Union of Democratic Forces"
"Pablo ARIAS ECHEVERRÍA","Spain","Group of the European People's Party (Christian Democrats)","96808","Partido Popular"
"Pascal ARIMONT","Belgium","Group of the European People's Party (Christian Democrats)","24922","Christlich Soziale Partei"
"Anna-Michelle ASIMAKOPOULOU","Greece","Group of the European People's Party (Christian Democrats)","197695","Nea Demokratia"
"Traian BĂSESCU","Romania","Group of the European People's Party (Christian Democrats)","197671","Partidul Mișcarea Populară"
"Vasco BECKER-WEINBERG","Portugal","Group of the European People's Party (Christian Democrats)","254719","Partido do Centro Democrático Social-Partido Popular"
"François-Xavier BELLAMY","France","Group of the European People's Party (Christian Democrats)","197534","Les Républicains"
"Isabel BENJUMEA BENJUMEA","Spain","Group of the European People's Party (Christian Democrats)","197679","Partido Popular"
"Hildegard BENTELE","Germany","Group of the European People's Party (Christian Democrats)","197408","Christlich Demokratische Union Deutschlands"
"Tom BERENDSEN","Netherlands","Group of the European People's Party (Christian Democrats)","197778","Christen Democratisch Appèl"
"Stefan BERGER","Germany","Group of the European People's Party (Christian Democrats)","197410","Christlich Demokratische Union Deutschlands"
"Alexander BERNHUBER","Austria","Group of the European People's Party (Christian Democrats)","197648","Österreichische Volkspartei"
"Vladimír BILČÍK","Slovakia","Group of the European People's Party (Christian Democrats)","197771","Independent"
"Vasile BLAGA","Romania","Group of the European People's Party (Christian Democrats)","197637","Partidul Naţional Liberal"
"Ioan-Rareş BOGDAN","Romania","Group of the European People's Party (Christian Democrats)","197636","Partidul Naţional Liberal"
"Franc BOGOVIČ","Slovenia","Group of the European People's Party (Christian Democrats)","125004","Slovenska ljudska stranka"
"Karolin BRAUNSBERGER-REINHOLD","Germany","Group of the European People's Party (Christian Democrats)","226260","Christlich Demokratische Union Deutschlands"
"Krzysztof BREJZA","Poland","Group of the European People's Party (Christian Democrats)","251324","Platforma Obywatelska"
"Daniel BUDA","Romania","Group of the European People's Party (Christian Democrats)","125012","Partidul Naţional Liberal"
"Cristian-Silviu BUŞOI","Romania","Group of the European People's Party (Christian Democrats)","38420","Partidul Naţional Liberal"
"Jerzy BUZEK","Poland","Group of the European People's Party (Christian Democrats)","28269","Platforma Obywatelska"
"David CASA","Malta","Group of the European People's Party (Christian Democrats)","28122","Partit Nazzjonalista"
"Daniel CASPARY","Germany","Group of the European People's Party (Christian Democrats)","28219","Christlich Demokratische Union Deutschlands"
"Pilar del CASTILLO VERA","Spain","Group of the European People's Party (Christian Democrats)","28390","Partido Popular"
"Caterina CHINNICI","Italy","Group of the European People's Party (Christian Democrats)","124861","Forza Italia"
"Deirdre CLUNE","Ireland","Group of the European People's Party (Christian Democrats)","124988","Fine Gael Party"
"Carlos COELHO","Portugal","Group of the European People's Party (Christian Democrats)","1892","Partido Social Democrata"
"Nathalie COLIN-OESTERLÉ","France","Group of the European People's Party (Christian Democrats)","197536","Les centristes"
"Ana COLLADO JIMÉNEZ","Spain","Group of the European People's Party (Christian Democrats)","247737","Partido Popular"
"Lara COMI","Italy","Group of the European People's Party (Christian Democrats)","96775","Forza Italia"
"Arnaud DANJEAN","France","Group of the European People's Party (Christian Democrats)","96747","Les Républicains"
"Salvatore DE MEO","Italy","Group of the European People's Party (Christian Democrats)","204333","Forza Italia"
"Geoffroy DIDIER","France","Group of the European People's Party (Christian Democrats)","190774","Les Républicains"
"Christian DOLESCHAL","Germany","Group of the European People's Party (Christian Democrats)","197473","Christlich-Soziale Union in Bayern e.V."
"Herbert DORFMANN","Italy","Group of the European People's Party (Christian Democrats)","96787","Südtiroler Volkspartei"
"Ana Miguel DOS SANTOS","Portugal","Group of the European People's Party (Christian Democrats)","254720","Partido Social Democrata"
"Jarosław DUDA","Poland","Group of the European People's Party (Christian Democrats)","197510","Platforma Obywatelska"
"Lena DÜPONT","Germany","Group of the European People's Party (Christian Democrats)","99945","Christlich Demokratische Union Deutschlands"
"Christian EHLER","Germany","Group of the European People's Party (Christian Democrats)","28226","Christlich Demokratische Union Deutschlands"
"Rosa ESTARÀS FERRAGUT","Spain","Group of the European People's Party (Christian Democrats)","96811","Partido Popular"
"Gheorghe FALCĂ","Romania","Group of the European People's Party (Christian Democrats)","197649","Partidul Naţional Liberal"
"Markus FERBER","Germany","Group of the European People's Party (Christian Democrats)","1917","Christlich-Soziale Union in Bayern e.V."
"Frances FITZGERALD","Ireland","Group of the European People's Party (Christian Democrats)","197720","Fine Gael Party"
"Loucas FOURLAS","Cyprus","Group of the European People's Party (Christian Democrats)","197414","Democratic Rally"
"Tomasz FRANKOWSKI","Poland","Group of the European People's Party (Christian Democrats)","197513","Platforma Obywatelska"
"Cindy FRANSSEN","Belgium","Group of the European People's Party (Christian Democrats)","197455","Christen-Democratisch & Vlaams"
"Michael GAHLER","Germany","Group of the European People's Party (Christian Democrats)","2341","Christlich Demokratische Union Deutschlands"
"José Manuel GARCÍA-MARGALLO Y MARFIL","Spain","Group of the European People's Party (Christian Democrats)","1992","Partido Popular"
