"fullName","country","politicalGroup","id","nationalPoliticalGroup"
"Atidzhe ALIEVA-VELI","Bulgaria","Renew Europe Group","197848","Movement for Rights and Freedoms"
"Abir AL-SAHLANI","Sweden","Renew Europe Group","197400","Centerpartiet"
"Catherine AMALRIC","France","Renew Europe Group","247122","Parti Radical"
"Barry ANDREWS","Ireland","Renew Europe Group","204332","Fianna Fáil Party"
"Andrus ANSIP","Estonia","Renew Europe Group","124696","Eesti Reformierakond"
"Petras AUŠTREVIČIUS","Lithuania","Renew Europe Group","124766","Lietuvos Respublikos liberalų sąjūdis"
"Malik AZMANI","Netherlands","Renew Europe Group","197781","Volkspartij voor Vrijheid en Democratie"
"José Ramón BAUZÁ DÍAZ","Spain","Renew Europe Group","197779","Ciudadanos – Partido de la Ciudadanía"
"Stéphane BIJOUX","France","Renew Europe Group","197551","La République en marche"
"Izaskun BILBAO BARANDICA","Spain","Renew Europe Group","96922","Partido Nacionalista Vasco"
"Vlad-Marius BOTOŞ","Romania","Renew Europe Group","197668","Uniunea Salvați România"
"Gilles BOYER","France","Renew Europe Group","197577","Horizons"
"Sylvie BRUNET","France","Renew Europe Group","197576","Mouvement Démocrate"
"Jordi CAÑAS","Spain","Renew Europe Group","126644","Ciudadanos – Partido de la Ciudadanía"
"Pascal CANFIN","France","Renew Europe Group","96711","Liste Renaissance"
"Fabio Massimo CASTALDO","Italy","Renew Europe Group","124812","Azione"
"Catherine CHABAUD","France","Renew Europe Group","197505","Mouvement Démocrate"
"Dita CHARANZOVÁ","Czechia","Renew Europe Group","124708","Independent"
"Olivier CHASTEL","Belgium","Renew Europe Group","197463","Mouvement Réformateur"
"Asger CHRISTENSEN","Denmark","Renew Europe Group","197558","Venstre, Danmarks Liberale Parti"
"Ilana CICUREL","France","Renew Europe Group","204416","Liste Renaissance"
"Dacian CIOLOŞ","Romania","Renew Europe Group","197631","Reînnoim Proiectul European al României"
"Katalin CSEH","Hungary","Renew Europe Group","197588","Momentum"
"Nicola DANTI","Italy","Renew Europe Group","124821","Italia Viva – Il Centro"
"Jérémy DECERLE","France","Renew Europe Group","197504","Liste L'Europe Ensemble"
"Martina DLABAJOVÁ","Czechia","Renew Europe Group","124709","Independent"
"Anna Júlia DONÁTH","Hungary","Renew Europe Group","197595","Momentum"
"Lucia ĎURIŠ NICHOLSONOVÁ","Slovakia","Renew Europe Group","197766","Independent"
"Engin EROGLU","Germany","Renew Europe Group","197430","Freie Wähler"
"Laurence FARRENG","France","Renew Europe Group","197589","Mouvement Démocrate"
"Giuseppe FERRANDINO","Italy","Renew Europe Group","192634","Azione"
"Valter FLEGO","Croatia","Renew Europe Group","197419","Istarski demokratski sabor - Dieta democratica istriana"
"Claudia GAMON","Austria","Renew Europe Group","197632","NEOS – Das Neue Österreich"
"Vlad GHEORGHE","Romania","Renew Europe Group","209140","Independent"
"Andreas GLÜCK","Germany","Renew Europe Group","197443","Freie Demokratische Partei"
"Charles GOERENS","Luxembourg","Renew Europe Group","840","Parti démocratique"
"Sandro GOZI","France","Renew Europe Group","204419","Liste Renaissance"
"Bart GROOTHUIS","Netherlands","Renew Europe Group","197780","Volkspartij voor Vrijheid en Democratie"
"Klemen GROŠELJ","Slovenia","Renew Europe Group","197452","Zeleni Slovenije"
"Christophe GRUDLER","France","Renew Europe Group","197557","Mouvement Démocrate"
"Bernard GUETTA","France","Renew Europe Group","197543","Liste Renaissance"
"Svenja HAHN","Germany","Renew Europe Group","197444","Freie Demokratische Partei"
"Valérie HAYER","France","Renew Europe Group","135511","Renaissance"
"Martin HLAVÁČEK","Czechia","Renew Europe Group","197526","ANO 2011"
"Martin HOJSÍK","Slovakia","Renew Europe Group","197770","Progresívne Slovensko"
"Jan HUITEMA","Netherlands","Renew Europe Group","58789","Volkspartij voor Vrijheid en Democratie"
"Ivars IJABS","Latvia","Renew Europe Group","197624","Attīstībai/Par!"
"Sophia IN 'T VELD","Netherlands","Renew Europe Group","28266","Volt"
"Irena JOVEVA","Slovenia","Renew Europe Group","197447","Gibanje Svoboda"
"Pierre KARLESKIND","France","Renew Europe Group","197585","La République en marche"
"Karin KARLSBRO","Sweden","Renew Europe Group","197401","Liberalerna"
"Elsi KATAINEN","Finland","Renew Europe Group","191693","Suomen Keskusta"
"Michael KAUCH","Germany","Renew Europe Group","251268","Freie Demokratische Partei"
"Billy KELLEHER","Ireland","Renew Europe Group","197818","Fianna Fáil Party"
"Fabienne KELLER","France","Renew Europe Group","22858","Agir - La Droite constructive"
"Ondřej KNOTEK","Czechia","Renew Europe Group","197528","ANO 2011"
"Moritz KÖRNER","Germany","Renew Europe Group","197445","Freie Demokratische Partei"
"Ondřej KOVAŘÍK","Czechia","Renew Europe Group","118949","ANO 2011"
"Georgios KYRTSOS","Greece","Renew Europe Group","125063","Independent"
"Ilhan KYUCHYUK","Bulgaria","Renew Europe Group","124866","Movement for Rights and Freedoms"
"Guy LAVOCAT","France","Renew Europe Group","251859","Renaissance"
"Nathalie LOISEAU","France","Renew Europe Group","197494","Liste Renaissance"
"Morten LØKKEGAARD","Denmark","Renew Europe Group","96709","Venstre, Danmarks Liberale Parti"
"Bergur Løkke RASMUSSEN","Denmark","Renew Europe Group","239973","Moderaterne"
"Karen MELCHIOR","Denmark","Renew Europe Group","197567","Independent"
"Jozef MIHÁL","Slovakia","Renew Europe Group","249826","Independent"
"Iskra MIHAYLOVA","Bulgaria","Renew Europe Group","125128","Movement for Rights and Freedoms"
"Alin MITUȚA","Romania","Renew Europe Group","212855","Reînnoim Proiectul European al României"
"Ulrike MÜLLER","Germany","Renew Europe Group","124862","Freie Wähler"
"Caroline NAGTEGAAL","Netherlands","Renew Europe Group","190519","Volkspartij voor Vrijheid en Democratie"
"Javier NART","Spain","Renew Europe Group","125005","Independiente"
"Jan-Christoph OETJEN","Germany","Renew Europe Group","197432","Freie Demokratische Partei"
"Max ORVILLE","France","Renew Europe Group","234344","Mouvement Démocrate"
"Urmas PAET","Estonia","Renew Europe Group","129073","Eesti Reformierakond"
"Maite PAGAZAURTUNDÚA","Spain","Renew Europe Group","125038","Delegación Ciudadanos Europeos"
"Mauri PEKKARINEN","Finland","Renew Europe Group","197563","Suomen Keskusta"
"Morten PETERSEN","Denmark","Renew Europe Group","124872","Det Radikale Venstre"
"Dragoş PÎSLARU","Romania","Renew Europe Group","197663","Reînnoim Proiectul European al României"
"Eva Maria POPTCHEVA","Spain","Renew Europe Group","237320","Ciudadanos – Partido de la Ciudadanía"
"Erik POULSEN","Denmark","Renew Europe Group","239972","Venstre, Danmarks Liberale Parti"
"Samira RAFAELA","Netherlands","Renew Europe Group","197868","Democraten 66"
"Frédérique RIES","Belgium","Renew Europe Group","4253","Mouvement Réformateur"
"Catharina RINZEMA","Netherlands","Renew Europe Group","229519","Volkspartij voor Vrijheid en Democratie"
"Dominique RIQUET","France","Renew Europe Group","96885","Mouvement Radical Social-Libéral"
"María Soraya RODRÍGUEZ RAMOS","Spain","Renew Europe Group","4344","Ciudadanos – Partido de la Ciudadanía"
"Monica SEMEDO","Luxembourg","Renew Europe Group","197418","Fokus"
"Susana SOLÍS PÉREZ","Spain","Renew Europe Group","197784","Ciudadanos – Partido de la Ciudadanía"
"Ramona STRUGARIU","Romania","Renew Europe Group","134605","Reînnoim Proiectul European al României"
"Róża THUN UND HOHENSTEIN","Poland","Renew Europe Group","96776","Polska 2050"
"Irène TOLLERET","France","Renew Europe Group","197547","Liste Renaissance"
"Jana TOOM","Estonia","Renew Europe Group","124700","Eesti Keskerakond"
"Nils TORVALDS","Finland","Renew Europe Group","114268","Svenska folkpartiet"
"Dragoş TUDORACHE","Romania","Renew Europe Group","197665","Reînnoim Proiectul European al României"
"Hilde VAUTMANS","Belgium","Renew Europe Group","130100","Open Vlaamse Liberalen en Democraten"
"Marie-Pierre VEDRENNE","France","Renew Europe Group","197502","Mouvement Démocrate"
"Guy VERHOFSTADT","Belgium","Renew Europe Group","97058","Open Vlaamse Liberalen en Democraten"
"Adrián VÁZQUEZ LÁZARA","Spain","Renew Europe Group","204400","Ciudadanos – Partido de la Ciudadanía"
"Emma WIESNER","Sweden","Renew Europe Group","214839","Centerpartiet"
"Michal WIEZIK","Slovakia","Renew Europe Group","197769","Progresívne Slovensko"
"Salima YENBOU","France","Renew Europe Group","197511","Renaissance"
"Stéphanie YON-COURTIN","France","Renew Europe Group","197581","Liste Renaissance"
"Marco ZULLO","Italy","Renew Europe Group","125237","Independent"
