"fullName","country","politicalGroup","id","nationalPoliticalGroup"
"Alex AGIUS SALIBA","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197403","Partit Laburista"
"Clara AGUILERA","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125045","Partido Socialista Obrero Español"
"João ALBUQUERQUE","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","237224","Partido Socialista"
"Andris AMERIKS","Latvia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197783","Gods kalpot Rīgai"
"Marc ANGEL","Luxembourg","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","202073","Parti ouvrier socialiste luxembourgeois"
"Attila ARA-KOVÁCS","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197587","Demokratikus Koalíció"
"Maria ARENA","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124936","Parti Socialiste"
"Carmen AVRAM","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197651","Partidul Social Democrat"
"Laura BALLARÍN CEREZA","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","247735","Partido Socialista Obrero Español"
"Marek Paweł BALT","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197495","Nowa Lewica"
"Katarina BARLEY","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197433","Sozialdemokratische Partei Deutschlands"
"Pietro BARTOLO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197808","Partito Democratico"
"Marek BELKA","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197496","Nowa Lewica"
"Adrian-Dragoş BENEA","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197658","Partidul Social Democrat"
"Brando BENIFEI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124867","Partito Democratico"
"Robert BIEDROŃ","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197498","Nowa Lewica"
"Gabriele BISCHOFF","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197435","Sozialdemokratische Partei Deutschlands"
"Vilija BLINKEVIČIŪTĖ","Lithuania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96681","Lietuvos socialdemokratų partija"
"Biljana BORZAN","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","112748","Socijaldemokratska partija Hrvatske"
"Mercedes BRESSO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28346","Partito Democratico"
"Milan BRGLEZ","Slovenia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197446","Socialni demokrati"
"Udo BULLMANN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","4267","Sozialdemokratische Partei Deutschlands"
"Delara BURKHARDT","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197440","Sozialdemokratische Partei Deutschlands"
